event_id,prob_12h,prob_24h,prob_48h,prob_72h
72973561,0.01,0.015040272846978286,0.020309986406609637,1.0
73023698,0.01,0.01505961747929474,0.02031565387124401,1.0
74751606,0.01,0.012857249993839193,0.01711504021231902,1.0
74945408,0.3836746448422005,0.7422007670920105,0.7882335651169637,1.0
75012237,0.5928463815128046,0.8382923985870175,0.8805561551086922,1.0
75726601,0.01,0.01014917085202538,0.011044923371627768,1.0
78173856,0.01,0.01,0.010361295102460755,1.0
78227688,0.01800068806969146,0.03458198109733557,0.059494598696303136,1.0
78266693,0.01,0.012949411798312549,0.01659813000552024,1.0
78502343,0.01,0.012557180869435691,0.01485436350247138,1.0
78780565,0.01,0.01,0.011296439574869921,1.0
80446138,0.06748174173742261,0.07851978105263824,0.08313789949972017,1.0
80819726,0.01,0.01,0.01,1.0
81010506,0.01,0.010511915663697469,0.012212894054195012,1.0
81611002,0.01,0.01234111885625011,0.01444899278837286,1.0
81715663,0.5243595115858398,0.8523398722900648,0.8852714059125273,1.0
82779392,0.0137658358951398,0.021436748078808243,0.022833784142925695,1.0
83261710,0.01,0.013608721362545761,0.01748589696110958,1.0
84903193,0.017083498395943364,0.026395410918650608,0.028968527817727407,1.0
87245976,0.01,0.017077181264670616,0.017749135132426708,1.0
87273546,0.41279258262162666,0.41287388343463494,0.41287388343463494,1.0
89909836,0.01,0.018692859866908496,0.020253353996676937,1.0
91234126,0.40515088057367454,0.4054821813866827,0.4054821813866827,1.0
93027270,0.5896739631010417,0.8774909452217471,0.9266716595976691,1.0
94627327,0.05006445923713099,0.06771556473304552,0.06954860515665373,1.0
96570675,0.010839691610300406,0.018800850076420073,0.020422223643872806,1.0
97225766,0.017933982281465144,0.03081525401672114,0.033389897034711735,1.0
98446281,0.04982031204216297,0.06434744695381112,0.07013825564285159,1.0
99649465,0.0160123475342826,0.024820147821842498,0.026924001497939165,1.0
